SEARCH,YEARS,PATTRN,HASHfile
Spring, ,Spring,/tmp/work/f/fa21788d85efba825a0a198bcd5382cd852a38d38b8c0e958f1da2096959a28b
Spring, ,Spring,/tmp/work/f/fcfe53141ec66b0c39240718f9006cbdd3e767b0c8670286727d205ac289e63a
Spring, ,Spring,/tmp/work/f/fca462a6805e1da4ba7a149cf71a80ecb32b80dd54317498bd2e7dbb9e55f976
Spring, ,Spring,/tmp/work/f/fc28b265e18087dc94622140300198ede7938c096cb9992c4acd4b33d49c44ac
Spring, 2011 ,Spring,/tmp/work/f/ff6cd1d7a23a947cdf05d0467d088477fd2b04be0bd25ebfff40aeeaf74f5bef
Spring, ,Spring,/tmp/work/f/fe4a4b7938738307cbb59a110428dd363f0bdc7306bc5d9f25f37e814c165b35
Spring, ,Spring,/tmp/work/f/f14bd0859e363e6db8388141d79d78db1e06fb94efcf6218a5b1ce7309dfa439
Spring, 2019 ,Spring,/tmp/work/f/fb808f783811c98d9ea5838f35ec637771db18de5b6ee24feaa502d1747a6a90
Spring, 2011 ,Spring,/tmp/work/f/f3bd14063be5d71d14572b88e5f419be818f6265fc9639d3a33b351872c5c544
Spring, 2007 ,Spring,/tmp/work/f/fc5b0a68770c4906f86bcffab8eedab8981400b8d06429457055029c0c277300
Spring, 2017 ,Spring,/tmp/work/f/fd34af453915ba92746fc41860db036daebd05f2dc4cb06c09b221e307dbade1
Spring, ,Spring,/tmp/work/f/f9a538a98b2a5ea565ca92a91958bc0be941579e123aae9a1f228c35fa2869cb
Spring, ,Spring,/tmp/work/f/f36939aa533d64ee77f16d3dbbc4b3b1fe1c177fd9ea41e07d6d425e2b3d9f38
Spring, 2020 ,Spring,/tmp/work/f/f36fcba6aa7acb607259b109d1decdf7e2bb3d91896b1725c2d79ddd248a2b3c
Spring, 2019 ,Spring,/tmp/work/f/fe158a4dda66f295e8c3d659fc4621a9a7b804c4983c5eb8a37b8f2270236902
Spring, ,Spring,/tmp/work/f/f1a2987517e806869e76f956d104d24ce3e42469d91117c68326f02f737bb558
Spring, 2018 ,Spring,/tmp/work/f/f8636173a2db59aa3d1bfa976baf3d6b9945c9138ab2818252fcde37026f8008
Spring, 2015 ,Spring,/tmp/work/f/f3f8e9e2ede485d07dc2c06be9b937a65fcf2e3692593d875011eb8d15a230bd
Spring, ,Spring,/tmp/work/f/ffbcb16e677b5d7bc8a4d27559606523b786136a57eaecc3f9c8a85a031dad88
Spring, 2016 ,Spring,/tmp/work/f/f8971d07c9bb7247d739d7c37d0256c09d84fcffb087056df03906b547ec8b95
Spring, ,Spring,/tmp/work/f/f51ac16c6d02eb55348b946877efa0bde6a6933dc61421b1fd136f3aa185574d
Spring, ,Spring,/tmp/work/f/f0606dd57fd594d1d052f2ed89c65820fe73161ce0579c11020c7519a227b76c
Spring, 2013 ,Spring,/tmp/work/f/f8d681276b9e6ca50c63689d15ed5cc6ce2c4c3472155e3f85ea26f13159d236
Spring, ,Spring,/tmp/work/f/fa152d168599c7ca69510b719d057f92a1332c4ba68d9870df8d70f7f59a0589
Spring, ,Spring,/tmp/work/f/f221c167053c1e2159cd09a7bfca6de640be2606a8abb3c19e7802ccbc8953ee
